序号,申请人,单位,院系,高校名称,人才称号,入选年份,数据来源,原始链接
168,卢成成,中国科学技术大学,附属第一医院血液内科,中国科学技术大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
169,张俊,中国科学院,半导体研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
170,陈伟强,中国科学院,城市环境研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
171,傅碧娜,中国科学院,大连化学物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
172,王方军,中国科学院,大连化学物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
173,孙剑,中国科学院,大连化学物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
174,董金玮,中国科学院,地理科学与资源研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
175,刘小莽,中国科学院,地理科学与资源研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
176,樊海峰,中国科学院,地球化学研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
177,蔡书慧,中国科学院,地质与地球物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
178,陈意,中国科学院,地质与地球物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
179,王相力,中国科学院,地质与地球物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
180,郑金星,中国科学院,等离子体物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
181,梁晓亮,中国科学院,广州地球化学研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
182,孙峙,中国科学院,过程工程研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
183,汪嘉宁,中国科学院,海洋研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
184,许倩倩,中国科学院,计算技术研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
185,丛欢,中国科学院,理化技术研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
186,李理,中国科学院,理论物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
187,石弢,中国科学院,理论物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
188,杨一玻,中国科学院,理论物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
189,徐华强,中国科学院,南京地理与湖泊研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
190,王军强,中国科学院,宁波材料技术与工程研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
191,曹直,中国科学院,山西煤炭化学研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
192,王绪高,中国科学院,沈阳应用生态研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
193,孙涛,中国科学院,沈阳应用生态研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
194,刘浩,中国科学院,沈阳自动化研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
195,刘刚,中国科学院,生态环境研究中心,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
196,丁璟珒,中国科学院,生物物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
197,赵岩,中国科学院,生物物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
198,窦德敏,中国科学院,物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
199,冉有华,中国科学院,西北生态环境资源研究院,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
200,王冰,中国科学院,遗传与发育生物学研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
201,何康敏,中国科学院,遗传与发育生物学研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
202,贾顺姬,中国科学院,遗传与发育生物学研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
203,肖军,中国科学院,遗传与发育生物学研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
204,刘晓娟,中国科学院,植物研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
205,边桂彬,中国科学院,自动化研究所,中国科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
206,张春芝,中国农业科学院,深圳农业基因组研究所,中国农业科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
207,杨学勇,中国农业科学院,蔬菜花卉研究所,中国农业科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
208,葛化彬,中国人民大学,数学学院,中国人民大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
209,刘芳洋,中南大学,低碳有色冶金国家工程研究中心,中南大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
210,杭建,中山大学,大气科学学院,中山大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
211,周怡,中山大学,附属第一医院,中山大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
212,郭志勇,中山大学,附属第一医院,中山大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
213,廖培钦,中山大学,化学学院,中山大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
214,王宇航,重庆大学,土木工程学院,重庆大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
215,胡博,重庆大学,电气工程学院,重庆大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
216,郁培文,重庆大学,经管学院,重庆大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
217,李咏生,重庆大学,附属肿瘤医院肿瘤内科,重庆大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
218,顾劲扬,重庆医科大学,附属第一医院肝胆外科,重庆医科大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
219,侯宇,重庆医科大学,基础医学院,重庆医科大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
220,胡建波,中国工程物理研究院,中国工程物理研究院,中国工程物理研究院,国家杰出青年科学基金获得者,2025,Unionpub学术,
221,贾娜,军事医学研究院,军事医学研究院,军事医学研究院,国家杰出青年科学基金获得者,2025,Unionpub学术,
