序号,申请人,单位,院系,高校名称,人才称号,入选年份,数据来源,原始链接
143,聂安民,香港理工大学,应用研究院,香港理工大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
144,罗彦斌,燕山大学,亚稳材料全国重点实验室,燕山大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
145,赵彦辉,长安大学,公路学院,长安大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
146,陆展,长江大学,石油工程学院,长江大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
147,陈喜群,浙江大学,化学系,浙江大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
148,陈淑洁,浙江大学,建筑工程学院,浙江大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
149,胡薇薇,浙江大学,附属邵逸夫医院,浙江大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
150,廖祖维,浙江大学,附属第二医院药学部,浙江大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
151,孙文平,浙江大学,化学工程与生物工程学院,浙江大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
152,孙修林,浙江大学,材料科学与工程学院,浙江大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
153,王赛,浙江大学,材料科学与工程学院,浙江大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
