序号,申请人,单位,院系,高校名称,人才称号,入选年份,数据来源,原始链接
221,刘鹏,浙江大学,控制科学与工程学院,浙江大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
222,左彪,浙江理工大学,化学化工学院,浙江理工大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
223,张庆刚,中国地质大学(北京),水资源与环境学院,中国地质大学(北京),国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
224,由庆,中国地质大学(北京),能源学院,中国地质大学(北京),国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
225,张宝刚,中国地质大学(武汉),计算机学院,中国地质大学(武汉),国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
226,赵新福,中国地质大学(武汉),资源学院,中国地质大学(武汉),国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxxxx
227,赵建,中国海洋大学,环境科学与工程学院,中国海洋大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
228,段海港,中国海洋大学,海洋化学与环境工程学院,中国海洋大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
229,徐集成,中国科学技术大学,化学与材料科学学院,中国科学技术大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
230,卢成成,中国科学技术大学,附属第一医院血液内科,中国科学技术大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
231,曾锋,中国科学技术大学,近代力学系,中国科学技术大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
232,普建峰,中国科学技术大学,物理学院,中国科学技术大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
233,蔡一其,中国科学技术大学,人工智能与数据科学学院,中国科学技术大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
234,蔡灿山,中国科学技术大学,人工智能与数据科学学院,中国科学技术大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
235,张俊,中国科学院半导体研究所,半导体研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
236,陈伟强,中国科学院大连化学物理研究所,大连化学物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
237,傅碧娜,中国科学院大连化学物理研究所,大连化学物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
238,王方军,中国科学院大连化学物理研究所,大连化学物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
239,孙剑,中国科学院大连化学物理研究所,大连化学物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
240,董金玮,中国科学院地理科学与资源研究所,地理科学与资源研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
241,刘小莽,中国科学院地理科学与资源研究所,地理科学与资源研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
242,樊海峰,中国科学院地球化学研究所,地球化学研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
243,蔡书慧,中国科学院地质与地球物理研究所,地质与地球物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
244,蔡慧慧,中国科学院地质与地球物理研究所,地质与地球物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
245,陈意,中国科学院地质与地球物理研究所,地质与地球物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
246,王相力,中国科学院地质与地球物理研究所,地质与地球物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
247,郑金星,中国科学院等离子体物理研究所,等离子体物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
248,梁晓亮,中国科学院广州地球化学研究所,广州地球化学研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
249,孙峙,中国科学院过程工程研究所,过程工程研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
250,汪嘉宁,中国科学院海洋研究所,海洋研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
251,许倩倩,中国科学院计算技术研究所,计算技术研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
252,计伟,中国科学院空间科学与应用研究中心,空间科学与应用研究中心,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
253,仇欢,中国科学院空天信息创新研究院,空天信息创新研究院,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
254,丛欢,中国科学院理化技术研究所,理化技术研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
255,李理,中国科学院理论物理研究所,理论物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
256,石弢,中国科学院理论物理研究所,理论物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
257,杨一玻,中国科学院理论物理研究所,理论物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
258,徐华强,中国科学院南京地理与湖泊研究所,南京地理与湖泊研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
259,王军波,中国科学院宁波材料技术与工程研究所,宁波材料技术与工程研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
260,曹直高,中国科学院山西煤炭化学研究所,山西煤炭化学研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
261,孙涛,中国科学院沈阳应用生态研究所,沈阳应用生态研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
262,王浩,中国科学院沈阳自动化研究所,沈阳自动化研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
263,刘芮,中国科学院生态环境研究中心,生态环境研究中心,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
264,丁璟珒,中国科学院生物物理研究所,生物物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
265,赵蘅敏,中国科学院生物物理研究所,生物物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
266,冉有华,中国科学院西北生态环境资源研究院,西北生态环境资源研究院,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
267,何顺姬,中国科学院遗传与发育生物学研究所,遗传与发育生物学研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
268,何康敏,中国科学院遗传与发育生物学研究所,遗传与发育生物学研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
