序号,申请人,单位,院系,高校名称,人才称号,入选年份,数据来源,原始链接
129,史吏,浙江工业大学,滨海软土智能建造研究院,浙江工业大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
130,沈英,浙江工业大学,信息工程学院,浙江工业大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
131,刘娜,浙江农科院,蔬菜研究所,浙江省农业科学院,国家优秀青年科学基金获得者,2025,Unionpub学术,
132,高超,浙江师范大学,物流电子信息工程学院,浙江师范大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
133,蔡金孟,郑州大学,化学学院,郑州大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
134,俞晶星,中国地震局,地质研究所,中国地震局,国家优秀青年科学基金获得者,2025,Unionpub学术,
135,李彦川,中国地震局,地质研究所,中国地震局,国家优秀青年科学基金获得者,2025,Unionpub学术,
136,薛胜超,中国地质大学(北京),中国地质大学(北京),中国地质大学(北京),国家优秀青年科学基金获得者,2025,Unionpub学术,
137,曾云川,中国地质大学(北京),中国地质大学(北京),中国地质大学(北京),国家优秀青年科学基金获得者,2025,Unionpub学术,
138,王青,中国地质大学(北京),中国地质大学(北京),中国地质大学(北京),国家优秀青年科学基金获得者,2025,Unionpub学术,
139,金成滨,中国计量大学,材料与化学学院,中国计量大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
140,姚雨,中国科学技术大学,中国科学技术大学,中国科学技术大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
141,陆熹,中国科学技术大学,化学与材料科学学院,中国科学技术大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
142,刘心昱,中国科学院,大连化学物理研究所,中国科学院,国家优秀青年科学基金获得者,2025,Unionpub学术,
143,李旭宁,中国科学院,大连化学物理研究所,中国科学院,国家优秀青年科学基金获得者,2025,Unionpub学术,
144,崔晓菊,中国科学院,大连化学物理研究所,中国科学院,国家优秀青年科学基金获得者,2025,Unionpub学术,
145,耿柠波,中国科学院,大连化学物理研究所,中国科学院,国家优秀青年科学基金获得者,2025,Unionpub学术,
146,罗能超,中国科学院,大连化学物理研究所,中国科学院,国家优秀青年科学基金获得者,2025,Unionpub学术,
147,乔庆龙,中国科学院,大连化学物理研究所,中国科学院,国家优秀青年科学基金获得者,2025,Unionpub学术,
148,龚海楠,中国科学院,大气物理研究所,中国科学院,国家优秀青年科学基金获得者,2025,Unionpub学术,
149,曾小家,中国科学院,地球化学研究所,中国科学院,国家优秀青年科学基金获得者,2025,Unionpub学术,
150,宋浩,中国科学院,海洋研究所,中国科学院,国家优秀青年科学基金获得者,2025,Unionpub学术,
151,徐伟,中国科学院,金属研究所,中国科学院,国家优秀青年科学基金获得者,2025,Unionpub学术,
152,张龙,中国科学院,金属研究所,中国科学院,国家优秀青年科学基金获得者,2025,Unionpub学术,
153,谭浩,中国科学院,金属研究所,中国科学院,国家优秀青年科学基金获得者,2025,Unionpub学术,
154,刘磊,中国科学院,南京地理与湖泊研究所,中国科学院,国家优秀青年科学基金获得者,2025,Unionpub学术,
155,高洁,中国科学院,青岛生物能源与过程研究所,中国科学院,国家优秀青年科学基金获得者,2025,Unionpub学术,
156,许驰,中国科学院,沈阳自动化研究所,中国科学院,国家优秀青年科学基金获得者,2025,Unionpub学术,
157,张闯,中国科学院,沈阳自动化研究所,中国科学院,国家优秀青年科学基金获得者,2025,Unionpub学术,
158,李淼淼,中国科学院,遗传与发育生物学研究所,中国科学院,国家优秀青年科学基金获得者,2025,Unionpub学术,
159,黄盖,中国科学院,遗传与发育生物学研究所,中国科学院,国家优秀青年科学基金获得者,2025,Unionpub学术,
160,陈晨,中国科学院,植物研究所,中国科学院,国家优秀青年科学基金获得者,2025,Unionpub学术,
161,葛晓阳,中国农业科学院,棉花研究所,中国农业科学院,国家优秀青年科学基金获得者,2025,Unionpub学术,
162,刘永鑫,中国农业科学院,农业基因组研究所,中国农业科学院,国家优秀青年科学基金获得者,2025,Unionpub学术,
163,商连光,中国农业科学院,农业基因组研究所,中国农业科学院,国家优秀青年科学基金获得者,2025,Unionpub学术,
164,张金喆,中国农业科学院,蔬菜花卉所,中国农业科学院,国家优秀青年科学基金获得者,2025,Unionpub学术,
165,张震,中国农业科学院,饲料研究所,中国农业科学院,国家优秀青年科学基金获得者,2025,Unionpub学术,
166,周琦,中国农业科学院,油料作物研究所,中国农业科学院,国家优秀青年科学基金获得者,2025,Unionpub学术,
167,王艳磊,中国人民大学,化学与生命资源学院,中国人民大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
168,刘泽豪,中国人民大学,财政金融学院,中国人民大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
169,王喜龙,中国石油大学(北京),化学工程与环境学院,中国石油大学(北京),国家优秀青年科学基金获得者,2025,Unionpub学术,
170,潘原,中国石油大学(华东),化学化工学院,中国石油大学(华东),国家优秀青年科学基金获得者,2025,Unionpub学术,
171,邓晓雅,中国水利水电科学研究院,水资源研究所,中国水利水电科学研究院,国家优秀青年科学基金获得者,2025,Unionpub学术,
172,唐欢,中国中医科学院,中药研究所/青蒿素研究中心,中国中医科学院,国家优秀青年科学基金获得者,2025,Unionpub学术,
173,王彩霞,中国中医科学院,中药研究所,中国中医科学院,国家优秀青年科学基金获得者,2025,Unionpub学术,
174,许国,中南大学,自动化学院,中南大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
175,刘斯洋,中山大学,公共卫生学院（深圳）,中山大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
176,吕佳蔚,中山大学,肿瘤防治中心放疗科,中山大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
177,武远众,中山大学,肿瘤防治中心,中山大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
178,张海亮,中山大学,肿瘤防治中心,中山大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
179,张亭亭,中山大学,附属第八医院,中山大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
180,黄怀义,中山大学,药学院,中山大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
181,顾浩,中山大学,大气科学学院,中山大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
182,卢骁,中山大学,大气科学学院,中山大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
183,吴晓妹,中山大学,大气科学学院,中山大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
184,隋江东,重庆大学,肿瘤医院,重庆大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
185,成立,重庆大学,电气工程学院,重庆大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
186,彭凯,重庆理工大学,机械工程学院,重庆理工大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
