高校,人才称号,年份,融合后人数,采用来源,来源优先级,冲突说明
西安交通大学,国家杰出青年科学基金获得者,2025,2,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
西安建筑科技大学,国家优秀青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
西安建筑科技大学,国家杰出青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
西安电子科技大学,国家优秀青年科学基金获得者,2025,2,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
西安电子科技大学,国家杰出青年科学基金获得者,2025,1,"[""科学家之家公众号""]",2,单源
西湖大学,国家优秀青年科学基金获得者,2025,2,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
西湖大学,国家杰出青年科学基金获得者,2025,5,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
解放军总医院,国家杰出青年科学基金获得者,2025,1,"[""科学家之家公众号""]",2,单源
辽宁工业大学,国家杰出青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
辽宁省农业科学院,国家杰出青年科学基金获得者,2025,1,"[""willnanobio.com""]",1,单源
郑州大学,国家优秀青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
重庆医科大学,国家杰出青年科学基金获得者,2025,2,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
重庆大学,国家优秀青年科学基金获得者,2025,2,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
重庆大学,国家杰出青年科学基金获得者,2025,4,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
重庆理工大学,国家优秀青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
长安大学,国家优秀青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
长安大学,国家杰出青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
长江大学,国家杰出青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
陆军军医大学,国家杰出青年科学基金获得者,2025,3,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
首都医科大学,国家杰出青年科学基金获得者,2025,1,"[""科学家之家公众号""]",2,单源
首都医科大学附属北京天坛医院,国家杰出青年科学基金获得者,2025,1,"[""willnanobio.com""]",1,单源
香港中文大学,国家杰出青年科学基金获得者,2025,1,"[""科学家之家公众号""]",2,单源
香港中文大学(深圳),国家优秀青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,单源
香港中文大学（深圳）,国家优秀青年科学基金获得者,2025,1,"[""科学家之家公众号2025年优青公示""]",2,多源冲突已按优先级仲裁
香港城市大学,国家优秀青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
香港城市大学,国家杰出青年科学基金获得者,2025,1,"[""科学家之家公众号""]",2,单源
香港大学,国家杰出青年科学基金获得者,2025,2,"[""科学家之家公众号""]",2,单源
香港理工大学,国家优秀青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
香港理工大学,国家杰出青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
香港科技大学,国家杰出青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
香港科技大学(广州),国家优秀青年科学基金获得者,2025,2,"[""Unionpub学术""]",3,单源
香港科技大学（广州）,国家优秀青年科学基金获得者,2025,2,"[""科学家之家公众号2025年优青公示""]",2,多源冲突已按优先级仲裁
